object	date	accuracy	discovered
M1	1758 Aug 21	!	n
M2	1746 Sep 11	!	n
M3	1764 May 03	!	y
M4	1752 Apr 13	?	n
M5	1764 May 23	!	n
M6	1752 Jun 16	?	n
M7	1752 Jun 15	?	n
M8	1764 May 23	!	n
M9	1764 May 28	!	y
M10	1764 May 29	!	y
M11	1764 May 29	?	n
M12	1764 May 30	!	y
M13	1764 May 30	?	n
M14	1764 Jun 01	!	y
M15	1764 Jun 03	!	n
M16	1764 Jun 03	!	n
M17	1764 Jun 03	!	n
M18	1764 Jun 03	!	y
M19	1764 Jun 05	!	y
M20	1764 Jun 05	!	y
M21	1764 Jun 05	!	y
M22	1764 Jun 05	?	n
M23	1764 Jun 20	!	y
M24	1764 Jun 20	!	y
M25	1764 Jun 20	!	n
M26	1764 Jun 20	!	y
M27	1764 Jul 12	!	y
M28	1764 Jul 27	!	y
M29	1764 Jul 29	!	y
M30	1764 Aug 03	!	y
M31	1764 Aug 03	?	n
M32	1764 Aug 03	!	n
M33	1775 Aug 18	!	n
M34	1774 Sep 02	!	n
M35	1774 Nov 01	!	n
M36	1774 Nov 01	?	n
M37	1774 Nov 02	!	n
M38	1774 Nov 02	?	n
M39	1774 Oct 27	!	y
M40	1774 Oct 27	!	y
M41	1774 Oct 27	?	n
M42	1774 Oct 27	?	n
M43	1775 Oct 27	?	n
M44	1775 Oct 27	?	n
M45	1775 Oct 27	?	n
M46	1771 Feb 19	!	y
M47	1771 Feb 19	!	n
M48	1771 Feb 19	!	y
M49	1771 Feb 19	!	y
M50	1772 Apr 05	!	y
M51	1773 Oct 13	!	y
M52	1774 Sep 07	!	y
M53	1777 Feb 26	!	n
M54	1778 Jul 24	!	y
M55	1778 Jul 24	!	n
M56	1779 Jan 19	!	y
M57	1779 Jan 31	!	y
M58	1779 Apr 15	!	y
M59	1779 Apr 15	!	n
M60	1779 Apr 15	!	n
M61	1779 May 11	!	n
M62	1771 Jun 07	!	y
M63	1779 Jun 14	!	n
M64	1780 Mar 01	!	n
M65	1780 Mar 01	!	y
M66	1780 Mar 01	!	y
M67	1780 Apr 06	!	n
M68	1780 Apr 09	!	y
M69	1780 Aug 31	!	y
M70	1780 Aug 31	!	y
M71	1780 Jun 28	?	n
M72	1780 Oct 04	!	n
M73	1780 Oct 04	!	y
M74	1780 Oct 18	!	n
M75	1780 Oct 05	!	n
M76	1780 Oct 21	!	n
M77	1780 Dec 17	!	n
M78	1780 Jan 01	~	n
M79	1780 Dec 17	!	n
M80	1781 Jan 01	!	y
M81	1779 Aug 31	~	n
M82	1779 Aug 31	~	n
M83	1781 Mar 18	!	n
M84	1781 Mar 18	!	y
M85	1781 Mar 18	!	n
M86	1781 Mar 18	!	y
M87	1781 Mar 18	!	y
M88	1781 Mar 18	!	y
M89	1781 Mar 18	!	y
M90	1781 Mar 18	!	y
M91	1784 Apr 08	!	y
M92	1781 Mar 18	!	n
M93	1781 Mar 20	!	y
M94	1781 Mar 24	!	n
M95	1781 Mar 24	!	n
M96	1781 Mar 24	!	n
M97	1781 Mar 24	!	n
M98	1781 Apr 13	!	n
M99	1781 Apr 13	!	n
M100	1781 Apr 13	!	n
M101	1781 Mar 27	~	n
M102	1781 Mar 31	~	n
M103	1781 Apr 02	~	n
M104	1781 May 11	!	n
M105	1781 Mar 24	!	n
M106	1781 Jul 05	~	n
M107	1782 Apr 03	~	n
M108	1781 Mar 24	!	y
M109	1781 Mar 30	~	n
M110	1783 Aug 27	~	n
